시스템사진 조종 성공 맨날 놀던 애가 더리 아픈 애한  하억질해서 실망함 기타 친한척 해 이제 실망한 개 웃김 장난감 하나루 절친댓네 근데 나 알러지 있나바 피부 뒤집힘 나도 고양이털 알러지 잇삼 흑흑 마스크 끼고 놀아줘,고양이 알레르기가 있는지 피부가 뒤집혔다고 해서 마스크 끼고 놀아주라고 한다
새끼를 아깽이라카나 웅 아깽이 시스템사진 저 삼색이가 완전 무릎냥에 가슴위에 자꾸 올라온단다 진짜이름처럼사람품에서잘자네 완전 이름대 흡 마음을 빼앗겻어 ,삼색이가 무릎 냥이에 가슴 위로 자꾸 올라오는데 마음을 빼앗겼다
나 방금 전화가 왔는데 이름라는 사람이 내 계좌를 가지고 사기치고 있대 뭐지  보이스피싱이잖아 진짜 속으면 뒤진다  아 이거 보이스피싱이야 뭘 뭐지야 진짜 혼난다 그런거야  하 왜구래 진짜,방금 자기 계좌를 가지고 사기를 치고 있다는 전화를 받았는데 보이스피싱이라고 한다
아 우체국갔다왔는데 없다  또르르그럴줄알앗어 빨리 겟햇어야지 아무도 안먹고싶은척하고있든데  다들 한개씩은 이미 먹고 배부른척하고 그거 다 내숭아니내 냐 다들 속으로는 먹고싶어하잖아,다들 안 먹고 싶은 척 배부른 척하더니 우체국에 다녀오니 하나도 남아있지 않다며 다들 속으로는 먹고 싶었나 보다고 이야기한다
커서 나 같이 되면 어쩌지 아파서 낳았는데 길러줬더니 지 생각만 하는 이기적인 자식놈 딸이면 그냥 상관 앖는데  그거임 외국으로 보내자 야 난 솔직히 딸도 걱정 돼 걱정 돼서 어떻게 밖에 내보내,아파서 낳고 질러줬더니 커서 지 생각만 하는 나 같이 되면 어쩌냐고 하니 외국으로 보내자고 한다
아피곤하다피곤해 근데 백일선물뭐사줘야되는데 몰라  다경험자 여기 없나  이모티콘 방 잘못찾으신듯  야 걍 헤이짐을 선물해라,백일 선물을 뭘 사줘야 하는지 모르겠다는 얘기를 한다
그럼 이름 애인이 저 계정만 보고 어떻게 알아 아니면 걍 네 구앤이면 어쩌지 이거 아님 암튼간에 내가 응 저거 한 스무번 정독해도 나라고 특정할만한 게 아니 문체가 에바라고,지인의 애인이 계정만 보고 어떻게 아는지 이야기를 하고 있다
이름아 새해 복 많이 받아 사랑해 사랑한다고 팍씨 잘 자 고맙다고 팍씨   머야 왜 안자 이름이도 새해 복 많이 받고 우리 2020년에는 하고싶은 거 다 하고 행복하게 살자 그러게  5시가 다 되가는데 유독 잠이 안 온다  고마워 이름아 이모티콘 전 이제 자러 갑니다 21년동안 수고했고 이제 2020년도 새로운 시대를 새로운 마음가짐으로 늘 활기찬 이름이가 되기를 내가 기도한다 그래 잘자 이름이에게 새해인사도 받았으니 좋은 꿈 꾸겠다  새해라서 잠이 안 왔나봐 뭐양  이름이도 2019년 고생 많았고 2020년에는 좋은 일만 있길 내가 기도할게 후후,새해 복 많이 받으라며 사랑한다고 하자 21년 동안 수고했고 2020년도 새로운 마음가짐으로 살자고 새해 인사를 한다
그 와중에 동생은 난 관심없어 이러고 있지 대환장 동생 맞냐 아닌듯 나 같으면 너무하지 목졸랐어 어우 짜증나,동생은 관심이 없어서 짜증난다
진짜  세상에 어떻게 주5일동안 애들이랑 그렇게 부대끼면서 살았냐구 생각만 해두 넘 힘들어  오랜만에 하니까 더 힘든건가봐 오늘 정말 고생했어  홈런볼 우유맛은 그 열나는 친구가 사달라고 한거야 혹시 그리구 싸우는 친구들 있으면 어떻게 다뤄 지금 30살먹고 싸운 두 명 이따 4시 팀미팅 들어가서 달래야되는데 너랑 싸운건 아니지 나는 그럼 냅둠괜히 내가 중간에 끼면 욕먹어 달래주지도 않고 알아서들 하라고대신 둘 중 누구 한 명 친하면 무조건 그 친구 편해주지  나랑 싸운건 아냐이모티콘하하 나도 한쪽 편 들어줘야겠다 근데 진짜루 30살 먹고 사이가 틀어질정도로 말싸움을 했다는게 믿기지가 않아  60살 먹고도 그러더라  절대 한심하게 생각하면 안됨 나도 그럴거같거든,말싸움한 두 명을 달래는 것에 대한 조언을 얻고 있다
